experiment_id,final_performance,duration,success,trust_period,performance_window,switch_threshold,learning_rate,n_steps,batch_size,total_timesteps
2,91.2,38.904752254486084,True,20,5,0.05,0.0003,2048,64,150000
0,476.2,41.71001601219177,True,8,2,0.15,0.0003,2048,64,150000
3,182.8,41.76932168006897,True,15,3,0.1,0.0003,2048,64,150000
1,194.2,42.30604529380798,True,12,3,0.1,0.001,2048,64,150000
4,230.4,32.872957706451416,True,12,3,0.1,0.0003,2048,128,150000
5,71.8,38.16774392127991,True,30,3,0.0,0.0003,2048,64,150000
7,168.8,40.696494340896606,True,5,1,0.2,0.0003,2048,64,150000
6,308.8,56.604121923446655,True,12,3,0.1,0.0003,2048,32,150000
8,64.2,35.613242387771606,True,12,3,0.1,0.0003,4096,64,150000
9,57.8,31.902602434158325,True,12,3,0.1,0.0003,1024,64,150000
10,109.6,33.565861225128174,True,3,1,0.3,0.0003,2048,64,150000
11,500.0,34.42813754081726,True,12,3,0.1,0.0005,2048,64,150000
12,58.8,29.033767461776733,True,12,3,0.1,0.0001,2048,64,150000
